Open;High;Low;Close;Adj Close;Volume;Price Delta
176,897003;229,067001;176,897003;209,843994;209,843994;81773504;32,946991
209,070007;221,591003;199,770996;208,097;208,097;38421000;-0,973007
207,834;211,731003;194,875;199,259995;199,259995;23469700;-8,574005
200,050003;218,695007;194,505997;210,339005;210,339005;30085100;10,289002
211,470993;216,727997;207,317993;214,860992;214,860992;18658300;3,389999
212,906998;215,240997;205,153;211,315002;211,315002;24051100;-1,591996
211,378006;227,787994;211,212006;226,897003;226,897003;29924600;15,518997
227,322006;237,018997;226,434006;233,406006;233,406006;33544600;6,084
233,516998;234,845001;225,195999;232,878998;232,878998;24621700;-0,638
232,699997;248,210007;230,022003;247,847;247,847;24782500;15,147003
247,352005;255,074005;243,889999;253,718002;253,718002;33582700;6,365997
254,078995;309,384003;254,078995;273,472992;273,472992;106794000;19,393997
273,166992;275,480011;250,653;263,475006;263,475006;44399000;-9,691986
263,351013;266,535004;227,046005;233,914993;233,914993;44352200;-29,43602
233,348007;238,705994;220,712006;233,513;233,513;32213400;0,164993
232,772003;242,850998;225,839005;226,425003;226,425003;26605200;-6,347
226,440994;233,503998;216,309006;217,464005;217,464005;23348200;-8,976989
216,867004;231,574005;212,014999;226,972;226,972;29128500;10,104996
226,490997;242,175003;222,658997;238,229004;238,229004;30612100;11,738007
237,453995;245,957001;224,483002;227,268005;227,268005;40783700;-10,18599
227,511002;230,057999;221,113007;226,852997;226,852997;26594300;-0,658005
227,664993;239,404999;214,725006;217,110992;217,110992;22516400;-10,554001
216,923004;230,509995;216,231995;222,266006;222,266006;24435300;5,343002
222,632996;230,298996;222,606995;227,753998;227,753998;21604200;5,121002
227,692993;229,438004;221,076996;223,412003;223,412003;17145200;-4,28099
223,389008;223,977005;217,018997;220,110001;220,110001;27791300;-3,279007
220,281998;221,807007;215,332001;219,839005;219,839005;21115100;-0,442993
219,731995;223,406006;218,074005;219,184998;219,184998;17201900;-0,546997
219,207993;222,199005;217,613998;221,764008;221,764008;15206200;2,556015
221,968994;240,259003;221,261993;235,427002;235,427002;42744400;13,458008
235,528;259,808014;235,528;257,321014;257,321014;49732500;21,793014
257,506989;265,610992;227,684006;234,824997;234,824997;56552400;-22,681992
234,824997;239,520996;229,022003;233,843002;233,843002;28153700;-0,981995
233,421997;245,774994;232,313995;243,610001;243,610001;27363100;10,188004
243,779999;244,251007;232,339996;236,326004;236,326004;25200800;-7,453995
236,410004;242,671997;235,591995;240,283005;240,283005;18270500;3,873001
240,251007;247,100998;239,298996;243,779007;243,779007;23876700;3,528
243,751999;255,320007;243,184006;244,533997;244,533997;12284200;0,781998
244,544006;246,391998;233,850998;235,977005;235,977005;19527000;-8,567001
235,994995;240,108994;232,421005;238,891998;238,891998;16400000;2,897003
238,998001;239,901001;236,401993;238,735001;238,735001;14200400;-0,263
238,889999;239,339996;235,529999;237,470001;237,470001;11496200;-1,419998
237,337006;237,710007;234,257004;236,425995;236,425995;13619400;-0,911011
236,436005;256,653015;236,436005;253,828003;253,828003;44013900;17,391998
253,520004;254,692001;249,479004;254,263;254,263;13949300;0,742996
254,283005;261,660004;245,932999;260,201996;260,201996;25213700;5,918991
260,356995;276,300995;258,312988;275,670013;275,670013;40465700;15,313018
275,04599;285,79599;268,161011;281,701996;281,701996;50461300;6,656006
281,98999;284,225006;268,126007;273,09201;273,09201;41383000;-8,89798
272,739014;281,666992;264,769012;276,178009;276,178009;41302400;3,438995
275,600006;277,608002;270,015015;272,722992;272,722992;28918900;-2,877014
272,294006;277,854004;270,132996;276,260986;276,260986;17825900;3,96698
276,433014;277,858002;272,565002;274,354004;274,354004;22067900;-2,07901
274,812012;292,700989;273,893005;289,606995;289,606995;59178200;14,794983
289,862;300,044006;289,743011;291,76001;291,76001;67770800;1,89801
291,524994;297,390991;290,507996;296,378998;296,378998;33963900;4,854004
296,127014;297,088013;292,412994;294,354004;294,354004;32585200;-1,77301
294,118011;294,497986;285,337006;285,337006;285,337006;31421500;-8,781005
284,441986;286,34201;280,976013;281,88501;281,88501;22612300;-2,556976
281,424988;286,528992;280,996002;286,393005;286,393005;11970100;4,968017
285,684998;294,112;285,684998;290,592987;290,592987;21516100;4,907989
290,595001;292,36499;284,373993;285,505005;285,505005;21497200;-5,089996
285,066986;285,335999;249,869995;256,299011;256,299011;57008000;-28,767975
255,880005;264,243988;248,636002;260,928009;260,928009;52732000;5,048004
260,955994;264,847992;259,161987;261,748993;261,748993;18456700;0,792999
261,644012;262,196014;255,649994;260,024994;260,024994;17130100;-1,619018
259,916992;269,747009;259,589996;267,959991;267,959991;18438100;8,042999
267,894989;277,296997;261,744995;266,73999;266,73999;22811900;-1,154999
266,576996;267,002991;244,154999;245,595001;245,595001;40073700;-20,981995
247,472;249,190002;236,514999;246,197006;246,197006;35866900;-1,274994
246,276001;254,354004;244,904999;248,531998;248,531998;25730000;2,255997
248,565994;256,811005;245,212997;247,029007;247,029007;17274900;-1,536987
246,975006;254,205002;246,975006;252,798004;252,798004;16040900;5,822998
252,740005;253,139008;240,850006;242,712997;242,712997;21699400;-10,027008
242,878998;249,242004;239,214005;247,526001;247,526001;23009600;4,647003
247,453995;248,729996;242,738998;244,223999;244,223999;22672000;-3,229996
244,223007;247,541;241,160004;247,272003;247,272003;22877200;3,048996
247,089005;254,460999;245,416;253,005005;253,005005;26272600;5,916
253,074005;256,042999;251,878998;254,322006;254,322006;23146600;1,248001
254,291;255,257996;251,100006;253,697006;253,697006;12493500;-0,593994
253,761002;260,674988;251,942001;260,597992;260,597992;19649200;6,83699
260,721008;261,798004;254,574997;255,492004;255,492004;20034200;-5,229004
255,274002;255,804993;252,205002;253,179993;253,179993;18467400;-2,094009
253,063995;253,847;244,214996;245,022003;245,022003;30086400;-8,041992
244,751007;246,117996;239,399994;243,675995;243,675995;21643500;-1,075012
243,694;243,694;232,770996;236,072006;236,072006;28882000;-7,621994
236,016006;239,537003;234,175003;236,552002;236,552002;16365200;0,535996
236,535004;237,727997;233,494995;236,153;236,153;12387900;-0,382004
235,949997;236,934998;221,996002;224,587006;224,587006;31181800;-11,362991
224,759003;224,975998;216,322998;219,158997;219,158997;31719000;-5,600006
219,072998;223,832993;218,649002;223,832993;223,832993;22562000;4,759995
223,917007;229,671997;223,917007;228,572998;228,572998;24805400;4,655991
228,574997;228,906006;221,942001;222,882004;222,882004;20429800;-5,692993
222,852997;224,315994;220,876007;223,356003;223,356003;12939000;0,503006
223,455994;226,352997;222,373001;222,600006;222,600006;15021500;-0,855988
222,612;226,350998;221,977005;224,626007;224,626007;18364700;2,014007
224,619995;235,268997;224,300995;235,268997;235,268997;24978000;10,649002
235,602005;237,908997;233,475998;234,175995;234,175995;23847900;-1,42601
234,052994;236,475006;233,199005;236,462006;236,462006;17036000;2,409012
235,970001;236,304993;229,932999;231,268005;231,268005;21448700;-4,701996
231,235001;232,561005;226,337006;226,389999;226,389999;13957200;-4,845002
226,410004;226,944;214,873993;219,429993;219,429993;28943700;-6,980011
219,429001;233,304993;218,022995;229,285995;229,285995;38574000;9,856994
228,968994;229,494995;223,069;225,854996;225,854996;21469200;-3,113998
225,591003;227,039993;223,429993;225,807999;225,807999;18936500;0,216996
225,692993;239,563004;224,992996;236,145004;236,145004;33818600;10,452011
235,938995;238,966003;232,078995;232,078995;232,078995;18815300;-3,86
232,341003;235,727005;232,341003;234,929993;234,929993;12535500;2,58899
234,880005;243,240005;234,082993;240,358002;240,358002;18494100;5,477997
240,356003;242,638;237,809998;239,018005;239,018005;21223400;-1,337998
238,852005;239,203995;232,054001;236,121002;236,121002;23929100;-2,731003
236,248993;236,453995;229,231003;229,781998;229,781998;29587200;-6,466995
229,662003;239,104996;228,572998;237,334;237,334;29064400;7,671997
237,203995;246,274994;236,274002;243,863007;243,863007;27445500;6,659012
243,768997;247,804001;239,639008;241,832001;241,832001;19790500;-1,936996
241,729004;244,067993;238,848999;240,296005;240,296005;15019100;-1,432999
240,298996;244,270004;239,376007;242,158005;242,158005;20892300;1,859009
242,145004;242,880997;240,098999;241,112;241,112;19282600;-1,033004
241,397995;243,703995;235,044998;236,376999;236,376999;27180100;-5,020996
236,214005;237,798996;234,057007;236,929001;236,929001;24413700;0,714996
236,955002;238,753006;236,794998;237,604996;237,604996;16329400;0,649994
237,643997;237,697006;235,294998;236,153;236,153;11089700;-1,490997
236,009995;238,024994;236,009995;236,802002;236,802002;11134300;0,792007
236,886993;237,210007;232,460007;233,128006;233,128006;16780300;-3,758987
233,037003;234,151001;231,817001;231,947006;231,947006;14241900;-1,089997
231,889999;234,682999;231,841995;234,018005;234,018005;15499400;2,128006
234,016006;236,242004;233,835007;235,343994;235,343994;15108900;1,327988
235,320999;240,968994;235,059998;240,348007;240,348007;27003000;5,027008
240,285995;241,024994;238,690994;238,871994;238,871994;14605000;-1,414001
238,975998;241,977997;238,811005;240,953003;240,953003;11508000;1,977005
240,927002;241,020996;236,636993;237,110001;237,110001;14423900;-3,817001
237,104004;238,242004;235,692001;237,115997;237,115997;16425000;0,011993
237,065002;238,636002;236,695007;237,283005;237,283005;18837000;0,218003
237,257004;237,824005;236,651993;237,408005;237,408005;13829600;0,151001
237,376999;237,522003;235,731003;237,095993;237,095993;14805000;-0,281006
237,091995;237,093002;232,046005;233,345001;233,345001;14098600;-3,746994
233,134995;233,251999;229,542007;230,190002;230,190002;14730800;-2,944993
230,233002;231,712997;221,296005;222,925995;222,925995;26090500;-7,307007
222,893997;226,416;222,419006;225,802994;225,802994;20459000;2,908997
225,735992;227,404007;223,929993;225,873993;225,873993;17752400;0,138001
225,772003;226,580994;224,054001;224,324005;224,324005;14728100;-1,447998
224,154007;225,968002;223,179001;224,951996;224,951996;18056500;0,797989
225,005005;225,718994;224,378998;225,619003;225,619003;11131500;0,613998
225,595993;226,194;222,651993;222,880997;222,880997;13318400;-2,714996
222,878998;229,464005;222,839005;228,488998;228,488998;23378400;5,61
228,537994;230,953995;227,929001;229,048004;229,048004;28353100;0,51001
228,994995;229,781998;228,009995;228,802994;228,802994;15904800;-0,192001
228,854996;230,287003;228,766998;229,705002;229,705002;14416000;0,850006
229,705002;231,057007;229,313004;229,981995;229,981995;14017700;0,276993
229,919998;232,651993;229,210007;232,401993;232,401993;13305300;2,481995
232,442001;234,858002;232,003998;233,542999;233,542999;12165900;1,100998
233,421997;237,835999;233,421997;236,822998;236,822998;19912100;3,401001
236,764999;251,742004;236,121994;250,895004;250,895004;41612000;14,130005
250,822998;256,852997;246,475998;249,283997;249,283997;43858400;-1,539001
249,427994;252,108002;244,126999;249,007004;249,007004;30980200;-0,42099
249,042999;250,977005;243,787003;244,606003;244,606003;23965300;-4,436996
244,529999;245,828003;240,626999;245,212006;245,212006;20608100;0,682007
245,100006;245,223999;241,882004;243,944;243,944;10600900;-1,156006
243,968994;247,917007;243,779007;246,990005;246,990005;17692500;3,021011
246,927002;247,304001;243,132996;244,296005;244,296005;15108700;-2,630997
244,281998;244,341003;240,514999;240,514999;240,514999;17344900;-3,766999
240,365005;243,332001;240,365005;242,798996;242,798996;16133100;2,433991
242,604004;243,748993;241,552994;243,593994;243,593994;13983500;0,98999
243,548996;251,339005;243,117004;250,990005;250,990005;20488600;7,441009
250,955002;251,171997;247,434006;249,011002;249,011002;15137600;-1,944
248,720993;257,173004;248,580994;257,063995;257,063995;34742900;8,343002
257,036011;267,867004;255,945999;263,071991;263,071991;44533800;6,03598
263,345001;265,171997;255,774002;258,621002;258,621002;27029800;-4,723999
258,552002;261,631012;254,115997;255,412003;255,412003;21551900;-3,139999
255,459;257,076996;253,505005;256,335999;256,335999;19033800;0,876999
256,490997;261,457001;254,199997;260,885986;260,885986;15620400;4,394989
260,804993;274,506012;258,700989;271,912994;271,912994;44156100;11,108001
271,108002;277,421997;267,600006;269,029999;269,029999;49154800;-2,078003
269,963013;271,341003;264,832001;266,207001;266,207001;28857600;-3,756012
265,981995;272,971008;264,385986;270,785004;270,785004;36980200;4,803009
270,826996;272,334991;267,085999;269,227997;269,227997;40301200;-1,598999
269,156006;294,591003;268,802002;284,894012;284,894012;100390000;15,738006
284,880005;298,506012;283,529999;293,11499;293,11499;41109900;8,234985
293,140015;314,394012;292,505005;310,867004;310,867004;56405000;17,726989
310,826996;310,947998;281,010986;292,053986;292,053986;62053900;-18,77301
292,033997;296,147003;286,638;287,463989;287,463989;28727200;-4,570008
288,045013;293,247986;285,367004;285,82901;285,82901;27486600;-2,216003
286,041992;291,183014;275,23999;278,088989;278,088989;49482600;-7,953003
278,091003;280,279999;272,042999;279,471985;279,471985;27591400;1,380982
279,330994;282,527008;274,075012;274,901001;274,901001;25187100;-4,429993
274,766998;275,670013;272,513;273,614014;273,614014;15332500;-1,152984
273,498993;278,980988;272,959991;278,980988;278,980988;22711400;5,481995
278,881989;280,546997;275,419006;275,833008;275,833008;22930700;-3,048981
275,657013;277,665985;274,381012;277,221985;277,221985;19389800;1,564972
277,341003;278,110992;275,716003;276,049011;276,049011;18531300;-1,291992
276,005005;289,252991;275,253998;288,278015;288,278015;37199400;12,27301
